epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,67.981,2.2544,0.79,0.9925,2.48625,0.00023664,0.00023664,0.00023664
2,125.982,0.71435,0.89625,0.99875,2.2543,0.000469941,0.000469941,0.000469941
3,179.465,0.45962,0.89875,0.9975,2.22813,0.00069853,0.00069853,0.00069853
4,234.126,0.39075,0.91,0.9975,2.19359,0.000692794,0.000692794,0.000692794
5,288.613,0.2983,0.93125,0.99875,2.18242,0.000685726,0.000685726,0.000685726
6,342.329,0.24943,0.9375,0.99875,2.16273,0.000678657,0.000678657,0.000678657
7,396.964,0.24292,0.92375,0.99875,2.16953,0.000671588,0.000671588,0.000671588
8,450.677,0.2199,0.93625,0.99875,2.15617,0.00066452,0.00066452,0.00066452
9,504.641,0.21052,0.93875,0.99875,2.15742,0.000657451,0.000657451,0.000657451
10,558.985,0.20049,0.9425,0.9975,2.15242,0.000650383,0.000650383,0.000650383
11,612.984,0.17715,0.9325,0.99625,2.15539,0.000643314,0.000643314,0.000643314
12,666.503,0.16393,0.94625,0.9975,2.1443,0.000636245,0.000636245,0.000636245
13,721.328,0.15444,0.93625,0.9975,2.14711,0.000629177,0.000629177,0.000629177
14,775.687,0.16152,0.9425,0.9975,2.15,0.000622108,0.000622108,0.000622108
15,829.796,0.13056,0.94,0.99875,2.14453,0.00061504,0.00061504,0.00061504
16,883.931,0.1346,0.94375,0.9975,2.14531,0.000607971,0.000607971,0.000607971
17,937.511,0.12779,0.9425,0.9975,2.14477,0.000600902,0.000600902,0.000600902
18,992.159,0.11922,0.93,0.9975,2.15641,0.000593834,0.000593834,0.000593834
19,1045.51,0.11885,0.94875,0.99875,2.14172,0.000586765,0.000586765,0.000586765
20,1099.5,0.11164,0.9425,0.99875,2.14297,0.000579697,0.000579697,0.000579697
21,1154.19,0.10998,0.94875,0.99875,2.14031,0.000572628,0.000572628,0.000572628
22,1207.76,0.09636,0.945,0.9975,2.14414,0.000565559,0.000565559,0.000565559
23,1262.46,0.10546,0.94,0.99875,2.14758,0.000558491,0.000558491,0.000558491
24,1316.83,0.09357,0.935,0.99875,2.14781,0.000551422,0.000551422,0.000551422
25,1371.21,0.08695,0.94,0.99875,2.14648,0.000544354,0.000544354,0.000544354
26,1424.75,0.08763,0.94625,0.99875,2.14547,0.000537285,0.000537285,0.000537285
27,1479.07,0.09879,0.935,0.99875,2.14781,0.000530216,0.000530216,0.000530216
28,1532.61,0.07915,0.9425,0.99875,2.1418,0.000523148,0.000523148,0.000523148
29,1586.68,0.08175,0.93875,0.9975,2.14586,0.000516079,0.000516079,0.000516079
30,1641.21,0.08565,0.94625,0.9975,2.13719,0.000509011,0.000509011,0.000509011
31,1694.69,0.08595,0.95125,0.99875,2.13727,0.000501942,0.000501942,0.000501942
32,1748.33,0.06623,0.94125,0.9975,2.13977,0.000494873,0.000494873,0.000494873
33,1803.3,0.07604,0.94625,0.99875,2.13742,0.000487805,0.000487805,0.000487805
34,1857.05,0.06823,0.9375,0.9975,2.14141,0.000480736,0.000480736,0.000480736
